,Year,Facility Name,Substance Name (English),Units,Stack Emissions,Direct Discharge
118,2013,Point Lepreau Generating Station,Iodine-131,Bq,0.0,0.0
119,2013,Point Lepreau Generating Station,Particulate (gross beta/gamma),Bq,0.0,150000000.0
120,2013,Point Lepreau Generating Station,Particulate gross alpha,Bq,0.0,8600000.0
121,2013,Point Lepreau Generating Station,Total noble gases,Bq-MeV,4600000000000.0,0.0
122,2013,Point Lepreau Generating Station,Tritium (HTO),Bq,91000000000000.0,290000000000000.0
123,2014,Bruce Power - A,Carbon-14,Bq,1640000000000.0,1130000000.0
124,2014,Bruce Power - A,Iodine-131,Bq,394000000.0,0.0
125,2014,Bruce Power - A,Particulate (gross beta/gamma),Bq,3130000.0,957000000.0
126,2014,Bruce Power - A,Particulate gross alpha,Bq,802000.0,1770000.0
127,2014,Bruce Power - A,Total noble gases,Bq-MeV,53000000000000.0,0.0
128,2014,Bruce Power - A,Tritium (HTO),Bq,751000000000000.0,194000000000000.0
129,2014,Bruce Power - B,Carbon-14,Bq,1260000000000.0,8060000000.0
130,2014,Bruce Power - B,Iodine-131,Bq,40200000.0,0.0
131,2014,Bruce Power - B,Particulate (gross beta/gamma),Bq,15300000.0,1990000000.0
132,2014,Bruce Power - B,Particulate gross alpha,Bq,2260000.0,1490000.0
133,2014,Bruce Power - B,Total noble gases,Bq-MeV,52500000000000.0,0.0
134,2014,Bruce Power - B,Tritium (HTO),Bq,413000000000000.0,642000000000000.0
135,2014,Bruce Power Site,Estimated public dose (see footnote),mSv/a,0.002,0.0
136,2014,Darlington Nuclear,Carbon-14,Bq,1300000000000.0,5500000000.0
137,2014,Darlington Nuclear,Elemental Tritium (HT),Bq,52000000000000.0,0.0
138,2014,Darlington Nuclear,Estimated public dose (see footnote),mSv/a,0.0006,0.0
139,2014,Darlington Nuclear,Iodine-131,Bq,160000000.0,0.0
140,2014,Darlington Nuclear,Particulate (gross beta/gamma),Bq,31000000.0,30000000000.0
141,2014,Darlington Nuclear,Particulate gross alpha,Bq,6400000.0,1800000.0
142,2014,Darlington Nuclear,Total noble gases,Bq-MeV,46000000000000.0,0.0
143,2014,Darlington Nuclear,Tritium (HTO),Bq,270000000000000.0,170000000000000.0
144,2014,Gentilly-2,Carbon-14,Bq,483000000000.0,52800000000.0
145,2014,Gentilly-2,Estimated public dose (see footnote),mSv/a,0.004,0.0
146,2014,Gentilly-2,Iodine-131,Bq,0.0,0.0
147,2014,Gentilly-2,Particulate (gross beta/gamma),Bq,292000.0,286000000.0
148,2014,Gentilly-2,Total noble gases,Bq-MeV,3150000000.0,0.0
149,2014,Gentilly-2,Tritium (HTO),Bq,119000000000000.0,356000000000000.0
150,2014,Pickering Nuclear - A & B,Carbon-14,Bq,1820000000000.0,1500000000.0
151,2014,Pickering Nuclear - A & B,Estimated public dose (see footnote),mSv/a,0.0012,0.0
