Year | Année,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Région économique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Français),Units | Unités,Stack Emissions | Émissions de cheminées,Direct Discharge | Évacuations directes,Footnotes | Notes de bas de page
2017,,SRB Technologies (Canada) Inc.,SRBT,Pembroke,,,,ON,45.8054,-77.1180,Tritium (HTO),Tritium (Eau tritiée),GBq,7.20E+03,NRM | NRS,
2017,,SRB Technologies (Canada) Inc.,SRBT,Pembroke,,,,ON,45.8054,-77.1180,Elemental Tritium (HT),Tritium élémentaire,GBq,1.76E+04,NRM | NRS,
2017,,SRB Technologies (Canada) Inc.,SRBT,Pembroke,,,,ON,45.8054,-77.1180,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.0033,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2017,2247,Nordion (Canada) Inc.,Nordion - Ottawa,Ottawa,,,,ON,45.3408,-75.9179,Cobalt-60,Cobalt-60,GBq,3.40E-03,NRM | NRS,
2017,2247,Nordion (Canada) Inc.,Nordion - Ottawa,Ottawa,,,,ON,45.3408,-75.9179,Iodine-125,Iode-125,GBq,1.20E-03,NRM | NRS,
2017,2247,Nordion (Canada) Inc.,Nordion - Ottawa,Ottawa,,,,ON,45.3408,-75.9179,Iodine-131,Iode-131,GBq,8.00E-04,NRM | NRS,
2017,2247,Nordion (Canada) Inc.,Nordion - Ottawa,Ottawa,,,,ON,45.3408,-75.9179,Xenon-133,Xénon-133,GBq,0.00E+00,NRM | NRS,
2017,2247,Nordion (Canada) Inc.,Nordion - Ottawa,Ottawa,,,,ON,45.3408,-75.9179,Xenon-135,Xénon-135,GBq,0.00E+00,NRM | NRS,
2017,2247,Nordion (Canada) Inc.,Nordion - Ottawa,Ottawa,,,,ON,45.3408,-75.9179,Xenon-135m,Xénon-135m,GBq,0.00E+00,NRM | NRS,
2017,2247,Nordion (Canada) Inc.,Nordion - Ottawa,Ottawa,,,,ON,45.3408,-75.9179,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.000052,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2016,3657,Cameco,Blind River Refinery,Blind River,,,,ON,46.1814,-83.0177,Uranium,Uranium,kg,1.0,1.2,
2016,3657,Cameco,Blind River Refinery,Blind River,,,,ON,46.1814,-83.0177,Radium-226,Radium-226,MBq,NRM | NRS,0.92,
