,Year,Facility Name,Substance Name (English),Units,Stack Emissions,Direct Discharge
110,2018,Blind River Refinery,Radium-226,MBq,0.0,1.05
111,2018,Blind River Refinery,Uranium,kg,1.2,1.9
112,2018,Cameco Fuel Manufacturing,Estimated public dose (see footnote),mSv/a,0.03,0.0
113,2018,Cameco Fuel Manufacturing,Uranium,kg,1.25,0.0
114,2018,Nordion - Ottawa,Cobalt-60,GBq,0.002,0.0
115,2018,Nordion - Ottawa,Estimated public dose (see footnote),mSv/a,6.7e-05,0.0
116,2018,Nordion - Ottawa,Iodine-125,GBq,0.0,0.0
117,2018,Nordion - Ottawa,Iodine-131,GBq,0.006,0.0
118,2018,Nordion - Ottawa,Xenon-133,GBq,0.0,0.0
119,2018,Nordion - Ottawa,Xenon-135,GBq,0.0,0.0
120,2018,Nordion - Ottawa,Xenon-135m,GBq,0.0,0.0
121,2018,Port Hope Conversion Facility,Estimated public dose (see footnote),mSv/a,0.31499999999999995,0.0
122,2018,Port Hope Conversion Facility,Uranium,kg,34.1,0.0
123,2018,SRBT,Elemental Tritium (HT),GBq,22400.0,0.0
124,2018,SRBT,Estimated public dose (see footnote),mSv/a,0.0038,0.0
125,2018,SRBT,Tritium (HTO),GBq,10700.0,0.0
126,2019,BWXT - Peterborough,Estimated public dose (see footnote),mSv/a,0.0115,0.0
127,2019,BWXT - Peterborough,Uranium,kg,4e-06,0.0
128,2019,BWXT - Toronto,Estimated public dose (see footnote),mSv/a,0.023,0.0
129,2019,BWXT - Toronto,Uranium,kg,0.007,0.0
130,2019,Blind River Refinery,Estimated public dose (see footnote),mSv/a,0.005,0.0
131,2019,Blind River Refinery,Radium-226,MBq,0.0,2.1
132,2019,Blind River Refinery,Uranium,kg,2.0,2.7
133,2019,Cameco Fuel Manufacturing,Estimated public dose (see footnote),mSv/a,0.027,0.0
134,2019,Cameco Fuel Manufacturing,Uranium,kg,1.09,0.0
135,2019,Nordion - Ottawa,Cobalt-60,GBq,2e-05,0.0
136,2019,Nordion - Ottawa,Estimated public dose (see footnote),mSv/a,8.7e-05,0.0
137,2019,Nordion - Ottawa,Iodine-125,GBq,0.0,0.0
138,2019,Nordion - Ottawa,Iodine-131,GBq,0.0,0.0
139,2019,Nordion - Ottawa,Xenon-133,GBq,0.0,0.0
140,2019,Nordion - Ottawa,Xenon-135,GBq,0.0,0.0
141,2019,Nordion - Ottawa,Xenon-135m,GBq,0.0,0.0
142,2019,Port Hope Conversion Facility,Estimated public dose (see footnote),mSv/a,0.20700000000000002,0.0
143,2019,Port Hope Conversion Facility,Uranium,kg,48.5,0.0
144,2019,SRBT,Elemental Tritium (HT),GBq,19900.0,0.0
145,2019,SRBT,Estimated public dose (see footnote),mSv/a,0.0022,0.0
146,2019,SRBT,Tritium (HTO),GBq,11900.0,0.0
147,2020,BWXT - Peterborough,Estimated public dose (see footnote),mSv/a,0.0,0.0
148,2020,BWXT - Peterborough,Uranium,kg,3e-06,0.0
149,2020,BWXT - Toronto,Estimated public dose (see footnote),mSv/a,0.0057,0.0
150,2020,BWXT - Toronto,Uranium,kg,0.008,0.0
151,2020,Blind River Refinery,Estimated public dose (see footnote),mSv/a,0.009,0.0
152,2020,Blind River Refinery,Radium-226,MBq,0.0,1.4
153,2020,Blind River Refinery,Uranium,kg,4.8,2.8
154,2020,Cameco Fuel Manufacturing,Estimated public dose (see footnote),mSv/a,0.02,0.0
155,2020,Cameco Fuel Manufacturing,Uranium,kg,0.92,0.0
156,2020,Nordion - Ottawa,Cobalt-60,GBq,0.0,0.0
157,2020,Nordion - Ottawa,Estimated public dose (see footnote),mSv/a,0.00122,0.0
158,2020,Nordion - Ottawa,Iodine-125,GBq,0.0,0.0
159,2020,Nordion - Ottawa,Iodine-131,GBq,0.0,0.0
160,2020,Nordion - Ottawa,Xenon-133,GBq,0.0,0.0
161,2020,Nordion - Ottawa,Xenon-135,GBq,0.0,0.0
162,2020,Nordion - Ottawa,Xenon-135m,GBq,0.0,0.0
163,2020,Port Hope Conversion Facility,Estimated public dose (see footnote),mSv/a,0.246,0.0
164,2020,Port Hope Conversion Facility,Uranium,kg,44.4,0.0
165,2020,SRBT,Elemental Tritium (HT),GBq,15400.0,0.0
166,2020,SRBT,Estimated public dose (see footnote),mSv/a,0.0024,0.0
