,Year,Facility Name,Substance Name (English),Units,Stack Emissions,Direct Discharge
120,2017,Chalk River Laboratories,Estimated public dose (see footnote),mSv/a,0.087,0.0
121,2017,Chalk River Laboratories,Iodine-125,Bq,530000000.0,0.0
122,2017,Chalk River Laboratories,Iodine-131,Bq,378000000.0,0.0
123,2017,Chalk River Laboratories,Particulate gross alpha,Bq,0.0,766000000.0
124,2017,Chalk River Laboratories,Particulate gross beta,Bq,0.0,41700000000.0
125,2017,Chalk River Laboratories,Strontium-90,Bq,0.0,16600000000.0
126,2017,Chalk River Laboratories,Total noble gases,Bq-MeV,6500000000000.0,0.0
127,2017,Chalk River Laboratories,Tritium (HTO),Bq,253000000000000.0,38100000000000.0
128,2017,Douglas Point,Estimated public dose (see footnote),mSv/a,0.0021,0.0
129,2017,Douglas Point,Particulate gross alpha,Bq,1640.0,11200000.0
130,2017,Douglas Point,Particulate gross beta,Bq,22900.0,25600000.0
131,2017,Douglas Point,Tritium (HTO),Bq,112000000000.0,35700000000.0
132,2017,Nuclear Power Demonstration,Estimated public dose (see footnote),mSv/a,0.01,0.0
133,2017,Nuclear Power Demonstration,Particulate gross beta,Bq,184000.0,180000000.0
134,2017,Nuclear Power Demonstration,Tritium (HTO),Bq,1480000000000.0,35700000000.0
135,2017,Port Granby Project,Estimated public dose (see footnote),mSv/a,0.00571,0.0
136,2017,Port Granby Project,Radium-226,Bq,0.0,1000000.0
137,2017,Port Granby Project,Uranium,kg,0.0,1.4
138,2017,Port Hope Project,Estimated public dose (see footnote),mSv/a,0.0045,0.0
139,2017,Port Hope Project,Radium-226,Bq,0.0,15900800000.0
140,2017,Port Hope Project,Uranium,kg,0.0,110.19999999999999
141,2017,Whiteshell Laboratories,Americium-241,Bq,0.0,5100000.0
142,2017,Whiteshell Laboratories,Cesium-137,Bq,0.0,18900000.0
143,2017,Whiteshell Laboratories,Estimated public dose (see footnote),mSv/a,4.8e-05,0.0
144,2017,Whiteshell Laboratories,Particulate gross alpha,Bq,93400.0,38800000.0
145,2017,Whiteshell Laboratories,Particulate gross beta,Bq,224000.0,297000000.0
146,2017,Whiteshell Laboratories,Plutonium-238,Bq,0.0,8690000.0
147,2017,Whiteshell Laboratories,Plutonium-239/240,Bq,0.0,12000000.0
148,2017,Whiteshell Laboratories,Strontium-90,Bq,0.0,66700000.0
149,2017,Whiteshell Laboratories,Tritium (HTO),Bq,50300000000.0,0.0
150,2017,Whiteshell Laboratories,Uranium-total,Bq,0.0,16900000.0
151,2018,Chalk River Laboratories,Argon-41,Bq,2640000000000000.0,0.0
152,2018,Chalk River Laboratories,Carbon-14,Bq,259000000000.0,0.0
153,2018,Chalk River Laboratories,Elemental Tritium (HT),Bq,6860000000000.0,0.0
