Year | Année,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Région économique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Français),Units | Unités,Stack Emissions | Émissions de cheminées,Direct Discharge | Évacuations directes,Footnotes | Notes de bas de page
2019,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Iodine-131,Iode-131,Bq,2.67E+07,NRM | NRS,
2019,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Argon-41,Argon-41,Bq,0.00E+00,NRM | NRS,
2019,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Particulate gross alpha,Particules alpha brutes,Bq,NRM | NRS,4.62E+08,
2019,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Particulate gross beta,Particules bêta brutes,Bq,NRM | NRS,2.75E+10,
2019,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.0038,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2019,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Tritium (HTO),Tritium (Eau tritiée),Bq,3.34E+10,4.51E+09,
2019,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Particulate gross alpha,Particules alpha brutes,Bq,9.31E+04,5.82E+07,
2019,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Particulate gross beta,Particules bêta brutes,Bq,3.27E+05,3.43E+08,
2019,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Uranium-total,Uranium total,Bq,NRM | NRS,1.49E+07,
2019,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Plutonium-239/240,Plutonium-239/240,Bq,NRM | NRS,4.70E+07,
2019,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Plutonium-238,Plutonium-238,Bq,NRM | NRS,4.86E+07,
2019,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Americium-241,Américium-241,Bq,NRM | NRS,2.01E+07,
2019,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Strontium-90,Strontium-90,Bq,NRM | NRS,5.95E+07,
2019,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Cesium-137,Césium-137,Bq,NRM | NRS,2.11E+07,
2019,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,8.70E-05,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Granby Project,Clarington,,,,ON,43.9106,-78.4511,Radium-226,Radium-226,Bq,NRM | NRS,2.20E+06,
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Granby Project,Clarington,,,,ON,43.9106,-78.4511,Uranium,Uranium,kg,NRM | NRS,2.7,
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Granby Project,Clarington,,,,ON,43.9106,-78.4511,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.0396,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Hope Project,Port Hope,,,,ON,43.9608,-78.3407,Radium-226,Radium-226,Bq,NRM | NRS,7.82E+05,
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Hope Project,Port Hope,,,,ON,43.9608,-78.3407,Uranium,Uranium,kg,NRM | NRS,0.2,
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Hope Project,Port Hope,,,,ON,43.9608,-78.3407,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.036,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Douglas Point,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3267,-81.6000,Tritium (HTO),Tritium (Eau tritiée),Bq,2.41E+11,3.73E+10,
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Douglas Point,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3267,-81.6000,Particulate gross alpha,Particules alpha brutes,Bq,4.90E+03,6.75E+06,
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Douglas Point,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3267,-81.6000,Particulate gross beta,Particules bêta brutes,Bq,3.90E+04,4.52E+07,
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Douglas Point,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3267,-81.6000,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.0015,NRM | NRS,Includes the entire Bruce site. Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | Comprend tout le site de Bruce. La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Nuclear Power Demonstration,Rolphton,,,,ON,46.1868,-77.6578,Tritium (HTO),Tritium (Eau tritiée),Bq,1.59E+11,2.52E+10,
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Nuclear Power Demonstration,Rolphton,,,,ON,46.1868,-77.6578,Particulate gross beta,Particules bêta brutes,Bq,4.21E+04,4.06E+07,
2019,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Nuclear Power Demonstration,Rolphton,,,,ON,46.1868,-77.6578,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,<0.01,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2018,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Elemental Tritium (HT),Tritium élémentaire,Bq,6.86E+12,NRM | NRS,
2018,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Tritium (HTO),Tritium (Eau tritiée),Bq,2.29E+14,1.93E+13,
2018,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Carbon-14,Carbone-14,Bq,2.54E+11,NRM | NRS,
2018,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Total noble gases,Total des gaz nobles,Bq-MeV,6.50E+12,NRM | NRS,
2018,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Iodine-131,Iode-131,Bq,1.02E+08,NRM | NRS,
2018,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Argon-41,Argon-41,Bq,2.59E+15,NRM | NRS,
2018,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Particulate gross alpha,Particules alpha brutes,Bq,NRM | NRS,6.88E+08,
2018,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Particulate gross beta,Particules bêta brutes,Bq,NRM | NRS,2.84E+10,
2018,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.036,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2018,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Tritium (HTO),Tritium (Eau tritiée),Bq,1.31E+10,NRM | NRS,
2018,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Particulate gross alpha,Particules alpha brutes,Bq,9.13E+04,3.90E+07,
2018,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Particulate gross beta,Particules bêta brutes,Bq,1.70E+05,1.94E+08,
2018,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Uranium-total,Uranium total,Bq,NRM | NRS,1.16E+07,
2018,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Plutonium-239/240,Plutonium-239/240,Bq,NRM | NRS,2.32E+07,
2018,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Plutonium-238,Plutonium-238,Bq,NRM | NRS,1.84E+07,
2018,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Americium-241,Américium-241,Bq,NRM | NRS,4.21E+06,
2018,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Strontium-90,Strontium-90,Bq,NRM | NRS,3.21E+07,
2018,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Cesium-137,Césium-137,Bq,NRM | NRS,1.51E+07,
2018,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,3.60E-05,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2018,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Granby Project,Clarington,,,,ON,43.9106,-78.4511,Radium-226,Radium-226,Bq,NRM | NRS,1.00E+06,
2018,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Granby Project,Clarington,,,,ON,43.9106,-78.4511,Uranium,Uranium,kg,NRM | NRS,1.3,
2018,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Granby Project,Clarington,,,,ON,43.9106,-78.4511,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.02,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2018,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Hope Project,Port Hope,,,,ON,43.9608,-78.3407,Radium-226,Radium-226,Bq,NRM | NRS,7.00E+05,
