_id,Year | Annee,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Region economique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Francais),Units | Unites,Stack Emissions | Emissions de cheminees,Direct Discharge | Evacuations directes,Footnotes | Notes de bas de page
73,2019,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.7250,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,2.60E+07,2.30E+10,""
74,2019,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.7250,Particulate gross alpha,Particules alpha brutes,Bq,1.30E+06,5.40E+05,""
75,2019,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-81.5916,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.00004,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
76,2019,3161,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Tritium (HTO),Tritium (Eau tritiée),Bq,5.60E+14,4.30E+14,""
77,2019,3161,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Carbon-14,Carbone-14,Bq,2.60E+12,3.50E+09,""
78,2019,3161,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Total noble gases,Total des gaz nobles,Bq-MeV,1.30E+14,NRM | NRS,""
79,2019,3161,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Iodine-131,Iode-131,Bq,1.40E+07,NRM | NRS,""
80,2019,3161,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,5.70E+06,7.80E+10,""
81,2019,3161,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Particulate gross alpha,Particules alpha brutes,Bq,1.10E+06,2.30E+06,""
82,2019,3163,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.0017,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
83,2018,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Tritium (HTO),Tritium (Eau tritiée),Bq,9.17E+13,5.46E+13,""
84,2018,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Carbon-14,Carbone-14,Bq,4.63E+10,1.71E+08,""
85,2018,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Total noble gases,Total des gaz nobles,Bq-MeV,LD,NRM | NRS,<LD = 0
86,2018,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Iodine-131,Iode-131,Bq,LD,NRM | NRS,<LD = 0
87,2018,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,2.15E+06,2.51E+07,""
88,2018,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.009,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
89,2018,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Tritium (HTO),Tritium (Eau tritiée),Bq,1.40E+14,2.40E+14,""
90,2018,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Carbon-14,Carbone-14,Bq,3.30E+11,4.90E+09,""
91,2018,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Total noble gases,Total des gaz nobles,Bq-MeV,2.50E+13,NRM | NRS,""
92,2018,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Iodine-131,Iode-131,Bq,1.30E+06,NRM | NRS,""
